yanlis,dogru
acenta,acente
adele,adale
afaroz,aforoz
afilli,afili
ahçı,aşçı
ahpap,ahbap
akapunktur,akupunktur
akıldışı,akıl dışı 
alarım,alarm
aldırmamazlık,aldırmazlık
alimünyum,alüminyum 
Allahü Teala,Allahutaala
alobora,alabora
alt yapı,altyapı
altgeçit,alt geçit
altyazı,alt yazı
alzheimer,alzaymır
amartisör,amortisör 
an be an,anbean
ana okulu,anaokulu
anabilim dalı,ana bilim dalı
anadil,ana dil
anfi,amfi
anotomi,anatomi 
antiparantez,antrparantez
antreman,antrenman
aparatif,aperitif
arasıra,ara sıra
ardarda,art arda
arefe,arife 
arozöz,arazöz 
artniyet,art niyet
aşentiyon,eşantiyon 
at binmek,ata binmek 
atelye,atölye
ateşe,ataşe
ayak üstü,ayaküstü 
ayrıyeten,ayrıca 
Azarbaycan,Azerbaycan 
baş örtüsü,başörtüsü 
baş sağlığı,başsağlığı
bilimkurgu,bilim kurgu
bilimum,bilumum
bilmemezlik,bilmezlik 
bir çok,birçok
bir kaç,birkaç
bir takım,birtakım 
biran,bir an
birarada,bir arada
bire bir,birebir
birfiil,bilfiil
birhaber,bihaber
bisküit,bisküvi
boy pos,boy bos
bugünki,bugünkü
burda,burada
buyana,bu yana
cafe,kafe
canbaz,cambaz
canı gönülden,canıgönülden  
Cenabi Hak,Cenabıhak
ceryan,cereyan
çoşku,coşku 
dabruka,darbuka
dekarasyon,dekorasyon
dekaratör,dekoratör
demiryolu,demir yolu
denizyolu,deniz yolu
deyinmek,değinmek
dinazor,dinozor
direk,direkt
diyaspora,diaspora 
doğalgaz,doğal gaz
döküman,doküman
duymamazlık,duymazlık
egzos,egzoz
ekzantrik,eksantrik
elele,el ele
entellektüel,entelektüel 
entrasan,enteresan 
erezyon,erozyon
eskaza,ezkaza
eskirim,eskrim 
espiri,espri 
eşgal,eşkal
eşortman,eşofman
evvelallah,evelallah
evye,eviye 
ezane,eczane 
fantazi,fantezi
farza,fariza
fasülye,fasulye
fesetmek,feshetmek 
fiat,fiyat
florasan,floresan
gangaster,gangster 
gangren,kangren 
gardolap,gardırop
genel kurmay,genelkurmay
gerçek üstü,gerçeküstü
gluten,glüten	
gök kuşağı,gökkuşağ
gravat,kravat
güçbirliği,güç birliği
gün be gün,günbegün
haftasonu,hafta sonu
hakkaten,hakikaten 
halisinasyon,halüsinasyon
harfiyat,hafriyat 
hastahane,hastane 
hava alanı,havaalanı
hava limanı,havalimanı
havayolu,hava yolu
hemşeri,hemşehri
her hangi,herhangi
herbir,her bir
herdaim,her daim
hergün,her gün
herşey,her şey
herzaman,her zaman
heykeltraş,heykeltıraş
hıdrellez,Hıdırellez
Hıristiyan,Hristiyan
hiç bir,hiçbir
hiçkimse,hiç kimse
hoporlör,hoparlör
hoşçakal,hoşça kal
hoşgelmek,hoş gelmek
iade-i itibar,iadeiitibar
ilizyon,illüzyon
ilk öğretim,ilköğretim
ilkönce,ilk önce
inkilap,inkılap
insiyatif,inisiyatif
inşaa,inşa 
istepne,stepne
iş başı,işbaşı
işbirliği,iş birliği
işbirlikçi,iş birlikçi
itibariyle,itibarıyla
izalasyon,izolasyon 
kalemşör,kalemşor
kamelya,kameriye
kaparo,kapora 
kapşon,kapüşon
karayolu,kara yolu
karekter,karakter
karemel,karamel  
kareografi,koreografi 
karnıbahar,karnabahar
kat be kat,katbekat
kat etmek,katetmek
kaysı,kayısı 
kelime-i şehadet,kelimeişehadet
kırahatane,kıraathane 
kirbit,kibrit 
klavuz,kılavuz
kokareç,kokoreç
kolanya,kolonya 
kolleksiyon,koleksiyon
kollektif,kolektif
komidin,komodin
konsansüs,konsensüs
kontür,kontör 
kozmatik,kozmetik 
kurdela,kurdele
kuru sıkı,kurusıkı
Kuva-i milliye,Kuvayımilliye
küpür,kupür
küvöz,kuvöz
laboratuar,laboratuvar
lakayt,lakayıt
lavobo,lavabo 
logar,rögar
mahçup,mahcup 
makina,makine 
malesef,maalesef
manüpülasyon,manipülasyon
maydonoz,maydanoz 
mefta,mevta 
melemen,menemen 
menejer,menajer
mentalite,mantalite
mevlüt,mevlit
meyva,meyve
milletler arası,milletlerarası	
Misak-ı millî,Misakımilli 
molotof,molotofkokteyli
motorsiklet,motosiklet
mönü,menü
muacir,muhacir 
muaffak,muvaffak
muhattap,muhatap
mundar,murdar 
mustarip,muzdarip
müracat,müracaat 
mürettebatlar,mürettebat
mürüvet,mürüvvet
mütaakip,müteakip
mütahit,müteahhit
mütevazi,mütevazı
nacizane,naçizane
nalet,lanet
naturel,natürel
olağan üstü,olağanüstü 
oldu bitti,oldubitti
onla,onunla 
orjinal,orijinal
orta öğretim,ortaöğretim 
Ortadoğu,Orta Doğu
oybirliği,oy birliği
oyçokluğu,oy çokluğu
öğe,öge
önsöz,ön söz
önyargı,ön yargı
ötenazi,ötanazi 
özgeçmiş,öz geçmiş	
pantalon,pantolon
parağraf,paragraf
pardesü,pardösü 
parelel,paralel 
parende,perende 
parlemento,parlamento
pasifize,pasivize 
payton,fayton
pekçok,pek çok
penbe,pembe
peştemal,peştamal
poaça,poğaça 
proğram,program
proleterya,proletarya 
provakasyon,provokasyon
provakatör,provokatör
pür dikkat,pürdikkat
radyosyon,radyasyon 
resmi geçit,resmigeçit
rezarvasyon,rezervasyon
romork,römork
romörkör,römorkör 
rütuş,rötuş 
sabır etmek,sabretmek
sada,seda
saf kan,safkan
safa,sefa
sağnak,sağanak
sağol,sağ ol
sala,sela
santranç,satranç
sarmısak,sarımsak
senle,seninle
seramoni,seremoni
serbes,serbest
sevketmek,sevk etmek
seyehat,seyahat 
sezeryan,sezaryen 
silahşör,silahşor
siluet,silüet
sollama yapmak,sollamak 
sözgelimi,söz gelimi
sözkonusu,söz konusu
steteskop,stetoskop
su basmanı,subasman
sualtı,su altı
subap,supap
sükûtuhayal,sukutuhayal 
süpriz,sürpriz
şarter,şalter 
şarz,şarj 
şayibe,şaibe
şehirlerarası,şehirler arası 
şevkat,şefkat
şifai,şifahi
şohben,şofben
şok olmak,şoke olmak
şöför,şoför
şuan,şu an 
şuanda,şu anda
taburce,taburcu
tafsiye,tasfiye 
tahtarevalli,tahterevalli 
tahüt,taahhüt
taki,ta ki
tanpon,tampon
tasviye,tavsiye
taşaron,taşeron
tenbih,tembih
tenefüs,teneffüs
teravi,teravih 
tesbit,tespit
testesteron,testosteron
teşebüs,teşebbüs
teşfik,teşvik
tetanoz,tetanos
tiroid,tiroit
tiskinmek,tiksinmek  
tiyo,tüyo 
tolorans,tolerans
trabzan,tırabzan
traş,tıraş
tükrük,tükürük
ultümaton,ültimatom
uluslar arası,uluslararası 
usül,usul 
Uzakdoğu,Uzak Doğu
ünvan,unvan
üst yapı,üstyapı
üstgeçit,üst geçit 
üstün körü,üstünkörü
üvertür,uvertür
üzre,üzere
vehamet,vahamet
vejeteryan,vejetaryen
viyolo,viyola
yalnış,yanlış
yanısıra,yanı sıra
yanlız,yalnız
yanyana,yan yana
yeni doğan,yenidoğan
yıldönümü,yıl dönümü
yurtiçi,yurt içi
yüksek öğretim,yükseköğretim
yüzölçümü,yüz ölçümü
zenaat,zanaat
zerafet,zarafet

